Year,Arca noae,Bivalvia,Callista chione,Cardiidae,Cerastoderma edule,Chamelea gallina,Donax spp,Mya arenaria,Ruditapes decussatus,Solenidae,Tellina spp,Veneridae,Venerupis pullastra,Venus verrucosa,Total
1950,0,0,0,0,0,3100,0,0,2100,0,0,0,0,0,5200
1951,0,0,0,0,0,3200,0,0,1100,0,0,0,0,0,4300
1952,0,0,0,0,0,3200,0,0,1400,0,0,0,0,0,4600
1953,0,0,0,0,0,3300,0,0,1000,0,0,0,0,0,4300
1954,0,0,0,0,0,4200,0,0,1500,0,0,0,0,0,5700
1955,0,0,0,0,0,4900,0,0,900,0,0,0,0,0,5800
1956,0,0,0,0,0,4700,0,0,400,0,0,0,0,0,5100
1957,0,0,0,0,0,4900,0,0,600,0,0,0,0,0,5500
1958,0,0,0,0,0,3800,0,0,500,0,0,0,0,0,4300
1959,0,0,0,0,0,4700,0,0,400,0,0,0,0,0,5100
1960,0,0,0,0,0,4400,0,0,200,0,0,0,0,0,4600
1961,0,0,0,0,0,5800,0,0,500,0,0,0,0,0,6300
1962,0,0,0,0,0,5400,0,0,200,0,0,0,0,0,5600
1963,0,0,0,0,0,5200,0,0,200,0,0,0,0,0,5400
1964,0,0,0,0,0,8800,0,0,500,0,0,0,0,0,9300
1965,0,0,0,0,0,9500,0,0,600,0,0,0,0,0,10100
1966,0,0,0,0,100,9300,0,0,900,0,0,0,0,0,10300
1967,0,0,0,0,600,12100,0,0,800,0,0,0,0,0,13500
1968,0,0,0,0,2400,13200,0,0,0,0,0,0,900,0,16500
1969,0,0,0,0,1700,15700,0,0,100,0,0,0,500,0,18000
1970,0,0,0,0,900,16192,0,0,0,0,0,0,721,0,17813
1971,0,0,0,0,900,12605,0,0,0,0,0,0,565,0,14070
1972,0,0,0,0,900,17455,150,0,0,0,0,0,600,0,19105
1973,0,0,0,0,800,11239,415,0,100,0,0,0,1000,0,13554
1974,0,0,0,0,2500,29455,295,0,200,0,0,282,800,0,33532
1975,0,0,0,0,998,52913,197,0,228,1,0,90,893,0,55320
1976,0,0,0,0,1631,40577,0,0,190,4,0,59,600,0,43061
1977,0,0,0,0,510,15993,100,0,96,0,0,8,1341,0,18048
1978,0,0,0,0,515,14212,52,0,3,0,0,216,1551,0,16549
1979,0,0,0,0,240,24103,120,0,0,0,0,276,705,0,25444
1980,0,0,0,0,338,29677,36,0,7,7,0,256,0,0,30321
1981,0,0,0,0,110,21456,84,0,206,6,0,199,0,0,22061
1982,0,0,0,0,139,33546,0,0,44,0,0,232,9,0,33970
1983,0,0,0,0,159,35153,89,0,74,0,0,268,12,0,35755
1984,0,0,0,0,160,39176,78,0,50,0,0,417,8,0,39889
1985,0,0,0,0,119,26010,0,0,121,0,0,545,159,0,26954
1986,0,0,0,0,0,27440,0,0,640,1,0,643,0,0,28724
1987,0,2884,0,0,0,41442,245,0,402,10,0,171,0,0,45154
1988,0,1320,0,0,0,37653,0,0,215,4,0,158,0,0,39350
1989,0,1103,0,0,0,39051,0,0,122,0,0,105,0,0,40381
1990,0,1500,0,0,0,35512,0,0,202,0,0,134,0,0,37348
1991,0,2004,0,0,0,40230,0,0,159,0,0,100,0,0,42493
1992,0,2547,0,0,0,55141,0,0,1562,0,0,120,0,0,59370
1993,0,3043,0,0,0,60276,0,0,1733,0,0,130,0,0,65182
1994,0,3532,0,0,0,51744,0,0,1132,0,0,64,0,0,56472
1995,0,4016,0,0,0,45155,0,0,1379,0,0,0,0,0,50550
1996,0,4116,0,0,0,48060,0,0,488,2,0,0,5,0,52671
1997,0,3276,0,0,0,36239,0,0,135,4,0,0,5,0,39659
1998,0,3652,0,0,0,32811,0,0,172,1,0,0,0,0,36636
1999,0,2285,0,0,1,40421,275,0,143,5,0,18,141,0,43289
2000,0,1712,0,0,0,44580,292,0,796,5,0,18,27,0,47430
2001,0,1571,0,0,0,42657,174,0,569,5,0,22,0,0,44998
2002,0,2055,0,0,0,36592,176,0,1026,5,0,12,3,0,39869
2003,0,1532,0,0,0,61913,209,0,519,5,0,13,0,0,64191
2004,0,1358,0,0,0,54618,228,0,531,5,0,12,0,0,56752
2005,0,1691,2956,166,0,26192,568,0,622,471,0,0,0,0,32666
2006,0,1414,2190,72,0,68260,655,0,487,304,0,1266,0,0,74648
2007,0,1465,1853,28,0,76419,391,0,616,182,0,1334,0,0,82288
2008,0,1343,1669,48,0,62244,347,0,538,210,0,1255,0,0,67654
2009,0,867,1955,31,0,42220,359,0,508,364,31,70,0,0,46405
2010,0,1278,1679,32,0,47026,212,0,447,358,30,58,0,0,51120
2011,13,465,1705,23,0,50006,195,0,774,402,44,29,1,27,53684
2012,13,383,1430,14,0,81396,283,1,763,502,40,16,0,31,84872
2013,20,559,1645,8,0,42799,534,11,1091,282,51,84,0,71,47155
2014,17,869,1289,6,0,36097,483,62,1677,306,34,10,0,112,40962
2015,22,896,1348,86,0,52174,392,125,1396,215,21,6,2,123,56806
2016,29,1384,1419,62,2,37345,624,584,1554,273,6,7,0,128,43417
2017,30,708,1177,4,5,46830,723,819,743,77,5,2,0,107,51230
2018,24,685,1631,19,0,58665,562,601,288,16,5,4,0,120,62620
