"","variable","year","mean","sd","lower","upper"
"1","b_t",1988,149319.859286555,326151.89147931,15592.5889721415,525428.097803289
"2","b_t",1989,136020.996843329,366277.000260898,12626.1386882717,462496.133027972
"3","b_t",1990,153042.797832958,423373.931488441,13722.5482374892,501040.41151018
"4","b_t",1991,179622.326475691,400782.194093691,15672.6204217955,600604.779557535
"5","b_t",1992,217002.040943706,487527.616666638,18997.6848097839,732752.258220483
"6","b_t",1993,240592.2436053,481190.935668784,21337.3261180208,801934.170328137
"7","b_t",1994,287732.224871611,684474.902831418,24451.130192879,968308.954525926
"8","b_t",1995,303318.508223751,634325.672728788,26232.2028290963,1036440.02658321
"9","b_t",1996,289910.126059281,649055.578420102,25840.0628241012,995373.941913496
"10","b_t",1997,286131.467644016,621734.353779506,23972.9027833836,981884.317477628
"11","b_t",1998,275157.444810729,587941.644820465,23311.927425648,939957.761793396
"12","b_t",1999,212066.679005981,444339.555807794,17796.7659379361,725332.215450785
"13","b_t",2000,185749.894565524,406975.003461635,15394.0967375416,606001.775023994
"14","b_t",2001,170958.169923498,353378.073497496,14440.0138106951,574263.784537288
"15","b_t",2002,186579.550338383,389161.127105214,15520.5289724988,632819.938346969
"16","b_t",2003,158817.488481114,351683.617227387,13117.8975253384,536296.908766093
"17","b_t",2004,150128.214907721,320408.90335462,12663.8252376304,512012.438075808
"18","b_t",2005,154290.311962,356657.629162661,12369.7081865519,542703.269918361
"19","b_t",2006,135502.423874949,299294.140356571,11409.621110285,469101.67614094
"20","b_t",2007,120755.711672749,302988.967987239,9765.07014610047,400257.568451782
"21","b_t",2008,108091.977012965,240290.854719172,8622.30427219337,367477.736662839
"22","b_t",2009,86316.9364663728,198905.008360945,6965.23738222322,286177.618873659
"23","b_t",2010,76384.3082452372,181319.9874448,6098.68907147078,242653.205800855
"24","b_t",2011,49912.1056691459,115838.924706169,3981.40574233122,173195.078788914
"25","b_t",2012,44029.545950446,108001.786684605,3634.3471500782,150446.416048347
"26","b_t",2013,50712.8507978902,112631.21851042,4419.69417100638,174495.79876709
"27","b_t",2014,65090.3198047922,142208.480623192,5742.5205639775,219860.868035769
"28","b_t",2015,74672.6240978125,179478.960026974,6201.4241704619,255919.804786901
"29","b_t",2016,91497.2148824776,260770.12309355,7315.34426872706,313456.165204661
"30","b_t",2017,105009.225407244,284997.199984728,8170.60451993573,361761.333946423
"31","b_t",2018,109895.160657274,265865.897721161,10696.2190300329,378544.194885133
"32","bmsy",1988,104371.752034285,221740.741724641,11365.877829203,358511.48644792
"33","ck",1988,0.0205033897251398,0.0187187645282675,0.00184097065130522,0.0580685718330346
"34","ck",1989,0.0171327567172949,0.0156415130868781,0.00153832623362853,0.0485224505544221
"35","ck",1990,0.0232993065058407,0.0212713233275767,0.00209201210375594,0.0659870134466302
"36","ck",1991,0.0311278734918032,0.0284184879656425,0.00279492817061793,0.088158649964698
"37","ck",1992,0.0395622224469175,0.0361187070102253,0.00355223655217758,0.112045948832378
"38","ck",1993,0.0472665264648489,0.043152424590544,0.00424399522115288,0.133865654612064
"39","ck",1994,0.0548621003857529,0.050086875995334,0.00492599116697731,0.155377420995665
"40","ck",1995,0.0623800099516375,0.0569504229890321,0.00560101373912256,0.176669230667778
"41","ck",1996,0.0639332970520269,0.0583685112108706,0.00574048121270629,0.181068364897553
"42","ck",1997,0.0508856854087561,0.0464565701474276,0.00456895443460297,0.14411563736744
"43","ck",1998,0.0567260449062202,0.0517885818615402,0.00509335213527779,0.160656382071396
"44","ck",1999,0.0354926102438973,0.0324033158690086,0.00318683177138821,0.100520217150367
"45","ck",2000,0.0265922751586662,0.0242776703578742,0.00238768314775344,0.075313178013754
"46","ck",2001,0.0244021403471172,0.022278165965082,0.00219103401000038,0.0691103987497707
"47","ck",2002,0.0319200499130018,0.0291417129587801,0.00286605658214563,0.0904022084218834
"48","ck",2003,0.0237963583779653,0.021725111558565,0.00213664169530273,0.0673947364001583
"49","ck",2004,0.0210936388232878,0.0192576380525661,0.00189396829126704,0.0597402428403492
"50","ck",2005,0.0262660848675844,0.0239798718312882,0.00235839497830086,0.0743893598255012
