"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,481.333806647722,500.896817810712,160.86480396962,1228.28256831097
"2","b_t",2007,353.061905033761,444.781564074372,78.2973480321182,907.198030116846
"3","b_t",2008,435.548484280607,527.110530832889,100.300282244455,1240.05330885375
"4","b_t",2009,358.115437885407,457.281280139218,84.1398563645746,1041.75099448893
"5","b_t",2010,301.288410702304,380.109219921247,65.4993128679545,846.760965322587
"6","b_t",2011,228.758112735613,286.823789024072,45.998665521626,677.902509323388
"7","b_t",2012,176.289184981744,267.890801623434,31.4761816784196,529.414494849158
"8","b_t",2013,126.668741896446,151.694555842325,24.5690401724931,364.108667960027
"9","b_t",2014,148.965729018181,182.672848924224,32.7886865353755,424.823819479892
"10","b_t",2015,421.512455303466,467.399708424298,120.418964179492,1147.35475104357
"11","b_t",2016,394.0336530345,566.470527519494,71.3061170341271,1152.22272141115
"12","b_t",2017,349.635301286496,529.242718997225,50.098201942555,1071.88257065746
"13","b_t",2018,317.843903849286,346.406471926737,88.3527028139006,828.624832928546
"14","bmsy",2006,314.111785316067,318.087727453432,103.599297924328,800.274699784338
"15","ck",2006,0.177647361992381,0.0969227450717693,0.0449845552717578,0.347492780794119
"16","ck",2007,0.0690850852192594,0.0376921786390214,0.0174939937167947,0.135136081419935
"17","ck",2008,0.118431574661587,0.0646151633811795,0.0299897035145052,0.231661853862746
"18","ck",2009,0.0764870586356086,0.0417306263503451,0.0193683501864513,0.149614947286357
"19","ck",2010,0.078954383107725,0.043076775587453,0.0199931356763368,0.154441235908497
"20","ck",2011,0.0567484628586773,0.0309614324534819,0.0143700662673671,0.111004638309232
"21","ck",2012,0.0345425426096297,0.0188460893195107,0.00874699685839735,0.0675680407099675
"22","ck",2013,0.0197385957769312,0.0107691938968633,0.0049982839190842,0.0386103089771243
"23","ck",2014,0.0148039468326984,0.00807689542264744,0.00374871293931315,0.0289577317328432
"24","ck",2015,0.212189904602011,0.11576883439128,0.0537315521301552,0.415060821504086
"25","ck",2016,0.152974117271217,0.0834612527006902,0.0387367003729026,0.299229894572713
"26","ck",2017,0.00986929788846562,0.00538459694843163,0.0024991419595421,0.0193051544885621
"27","ck",2018,0.0468791649702117,0.0255768355050502,0.011870924307825,0.0916994838206702
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.766626696725431,0.0768584576489273,0.648219822755753,0.895332614187375
"31","dep_t",2007,0.551356762468334,0.232375356210842,0.266908636532804,0.980264430248767
"32","dep_t",2008,0.689087502038354,0.330302303391483,0.285052945928796,1.30899783315819
"33","dep_t",2009,0.554278543109557,0.275175284366459,0.239085923448837,1.0596358707948
"34","dep_t",2010,0.468397059609169,0.250223627330285,0.190144621787352,0.912116612627327
"35","dep_t",2011,0.358443670218593,0.207004821066624,0.130036695290818,0.734022623997105
"36","dep_t",2012,0.259965210369136,0.149861616276247,0.105435798862602,0.520514608792427
"37","dep_t",2013,0.200184357277551,0.104514800856443,0.0776213732384592,0.37900686542401
"38","dep_t",2014,0.238189105899368,0.12512015247785,0.0964839936483944,0.463274173205071
"39","dep_t",2015,0.693203407890989,0.309535633412662,0.300493478884288,1.27699862869967
"40","dep_t",2016,0.59173117935487,0.346007349395371,0.232582051176582,1.22480501774841
"41","dep_t",2017,0.509719376159073,0.320296647757088,0.177548941520455,1.08140614029886
"42","dep_t",2018,0.499622353703188,0.119834499499192,0.336651587356043,0.711073661271852
"43","growth_t",2006,0.119333986822072,0.0360081733562896,0.0622098573209567,0.172622771447545
"44","growth_t",2007,0.134902464933728,0.0880036954386783,0.0141866118362339,0.213736370315884
"45","growth_t",2008,0.0734043083381621,0.203244663402839,-0.290386781354945,0.204660060330643
"46","growth_t",2009,0.118800802493293,0.141764345283827,-0.041205968047243,0.211509632739674
"47","growth_t",2010,0.12757722085581,0.118330136982215,0.0496113040005065,0.20700987309256
"48","growth_t",2011,0.129597035859473,0.0805114618789546,0.0675439537446999,0.200169711987644
"49","growth_t",2012,0.117475929917926,0.0514416878420613,0.0572105379792894,0.190991323103154
"50","growth_t",2013,0.103725389917497,0.0421820929159568,0.0467032406478769,0.176856508851585
"51","growth_t",2014,0.114816579664167,0.0435514941632989,0.056367827360401,0.184743872328249
"52","growth_t",2015,0.081251634156882,0.188765742644365,-0.247150404175612,0.217716197854302
"53","growth_t",2016,0.0886520359895603,0.221543855439649,-0.187321318340742,0.206312450726191
"54","growth_t",2017,0.103046206965914,0.18505218162093,-0.0650720155792039,0.206229893635873
"55","growth_t",2018,0.163572677547233,0.0362514883164141,0.112397539844543,0.22540296805504
"56","index_hat_t",2006,481.333806647722,500.896817810712,160.86480396962,1228.28256831097
"57","index_hat_t",2007,353.061905033761,444.781564074372,78.2973480321182,907.198030116846
"58","index_hat_t",2008,435.548484280607,527.110530832889,100.300282244455,1240.05330885375
"59","index_hat_t",2009,358.115437885407,457.281280139218,84.1398563645746,1041.75099448893
"60","index_hat_t",2010,301.288410702304,380.109219921247,65.4993128679545,846.760965322587
"61","index_hat_t",2011,228.758112735613,286.823789024072,45.998665521626,677.902509323388
"62","index_hat_t",2012,176.289184981744,267.890801623434,31.4761816784196,529.414494849158
"63","index_hat_t",2013,126.668741896446,151.694555842325,24.5690401724931,364.108667960027
"64","index_hat_t",2014,148.965729018181,182.672848924224,32.7886865353755,424.823819479892
"65","index_hat_t",2015,421.512455303466,467.399708424298,120.418964179492,1147.35475104357
"66","index_hat_t",2016,394.0336530345,566.470527519494,71.3061170341271,1152.22272141115
"67","index_hat_t",2017,349.635301286496,529.242718997225,50.098201942555,1071.88257065746
"68","index_hat_t",2018,317.843903849286,346.406471926737,88.3527028139006,828.624832928546
"69","k",2006,628.223570632133,636.175454906864,207.198595848655,1600.54939956868
"70","log_b",2006,5.91400225105325,0.656626338327394,5.08056426853271,7.11337218672483
"71","log_b",2007,5.50644620181493,0.781416766402271,4.36051373310157,6.81036028072304
"72","log_b",2008,5.70295541113124,0.80161800879149,4.60816850603748,7.12290921623906
"73","log_b",2009,5.48663944929658,0.81114069716687,4.43248034552189,6.94865122308555
"74","log_b",2010,5.30303801857381,0.834281011515163,4.18203919281676,6.74141844049997
"75","log_b",2011,5.0180144707812,0.855607396840799,3.82861234156286,6.5190034838224
"76","log_b",2012,4.70298346758807,0.880824926004326,3.44923112262216,6.27177154697878
"77","log_b",2013,4.45125045324115,0.831666184378214,3.20148471008318,5.8974522032966
"78","log_b",2014,4.6297665618771,0.802056886153704,3.49008305445834,6.05167452434829
"79","log_b",2015,5.72317959556527,0.729520284334724,4.79097702953598,7.04521434640901
"80","log_b",2016,5.51777355388616,0.881268554157358,4.26698205479776,7.04944728599663
"81","log_b",2017,5.345979687525,0.953614129661726,3.91398511807662,6.97717169180752
"82","log_b",2018,5.46317339067936,0.710899146421486,4.48133672159249,6.71976624303497
"83","log_b_div_bmsy",2006,0.422372239072246,0.100318244788138,0.25962177014668,0.58258718398072
"84","log_b_div_bmsy",2007,0.0148161898339269,0.407833879268397,-0.627701740891363,0.673214200840368
"85","log_b_div_bmsy",2008,0.211325399150237,0.47211494587624,-0.561936707423162,0.962409012126733
"86","log_b_div_bmsy",2009,-0.00499056268442344,0.461910647008157,-0.737785178410991,0.751072487261728
"87","log_b_div_bmsy",2010,-0.188591993407194,0.494703577619781,-0.966823292853026,0.601159719563302
"88","log_b_div_bmsy",2011,-0.473615541199805,0.527773581525729,-1.34679141632987,0.383931751472992
"89","log_b_div_bmsy",2012,-0.788646544392931,0.509575675037799,-1.55650600887656,0.0402096871740707
"90","log_b_div_bmsy",2013,-1.04037955873985,0.503402010962857,-1.86276528082578,-0.277053833743929
"91","log_b_div_bmsy",2014,-0.861863450103908,0.489771585449314,-1.64523098908086,-0.0762892264162157
"92","log_b_div_bmsy",2015,0.231549583584262,0.440303801667573,-0.509182785846833,0.937659683673672
"93","log_b_div_bmsy",2016,0.0261435419051568,0.524733321991766,-0.765365351375807,0.895928840090761
"94","log_b_div_bmsy",2017,-0.14565032445601,0.569544665125129,-1.03536224486518,0.771408867433427
"95","log_b_div_bmsy",2018,-0.028456621301642,0.234668641022966,-0.3955598256853,0.352167927064518
"96","log_c_div_msy",2006,-0.137604048248764,0.648501706297808,-1.34322416526413,0.707927305259201
"97","log_c_div_msy",2007,-1.08206565708962,0.648501706297808,-2.28768577410498,-0.23653430358165
"98","log_c_div_msy",2008,-0.543069156356928,0.648501706297808,-1.74868927337229,0.302462197151037
"99","log_c_div_msy",2009,-0.980282962779673,0.648501706297808,-2.18590307979504,-0.134751609271708
"100","log_c_div_msy",2010,-0.948534264465093,0.648501706297808,-2.15415438148046,-0.103002910957128
"101","log_c_div_msy",2011,-1.27877595133567,0.648501706297808,-2.48439606835103,-0.433244597827704
"102","log_c_div_msy",2012,-1.77521283764956,0.648501706297808,-2.98083295466492,-0.929681484141595
"103","log_c_div_msy",2013,-2.33482862558498,0.648501706297808,-3.54044874260035,-1.48929727207702
"104","log_c_div_msy",2014,-2.62251069803676,0.648501706297808,-3.82813081505213,-1.7769793445288
"105","log_c_div_msy",2015,0.0400771289886885,0.648501706297808,-1.16554298802667,0.885608482496654
"106","log_c_div_msy",2016,-0.287135782219728,0.648501706297808,-1.49275589923509,0.558395571288237
"107","log_c_div_msy",2017,-3.02797580614493,0.648501706297808,-4.23359592316029,-2.18244445263696
"108","log_c_div_msy",2018,-1.46983118809838,0.648501706297808,-2.67545130511374,-0.624299834590414
"109","log_depletion",2006,-0.270774941487699,0.100318244788138,-0.433525410413265,-0.110559996579226
"110","log_depletion",2007,-0.678330990726018,0.407833879268397,-1.32084892145131,-0.0199329797195774
"111","log_depletion",2008,-0.481821781409708,0.47211494587624,-1.25508388798311,0.269261831566787
"112","log_depletion",2009,-0.698137743244369,0.461910647008157,-1.43093235897094,0.0579253067017829
"113","log_depletion",2010,-0.881739173967139,0.494703577619781,-1.65997047341297,-0.0919874609966435
"114","log_depletion",2011,-1.16676272175975,0.527773581525729,-2.03993859688982,-0.309215429086953
"115","log_depletion",2012,-1.48179372495288,0.509575675037799,-2.2496531894365,-0.652937493385875
"116","log_depletion",2013,-1.7335267392998,0.503402010962857,-2.55591246138572,-0.970201014303874
"117","log_depletion",2014,-1.55501063066385,0.489771585449314,-2.3383781696408,-0.769436406976161
"118","log_depletion",2015,-0.461597596975683,0.440303801667573,-1.20232996640678,0.244512503113727
"119","log_depletion",2016,-0.667003638654789,0.524733321991766,-1.45851253193575,0.202781659530816
"120","log_depletion",2017,-0.838797505015955,0.569544665125129,-1.72850942542512,0.0782616868734817
"121","log_depletion",2018,-0.721603801861587,0.234668641022966,-1.08870700624525,-0.340979253495428
"122","log_ihat",2006,5.91400225105325,0.656626338327394,5.08056426853271,7.11337218672483
"123","log_ihat",2007,5.50644620181493,0.781416766402271,4.36051373310157,6.81036028072304
"124","log_ihat",2008,5.70295541113124,0.80161800879149,4.60816850603748,7.12290921623906
"125","log_ihat",2009,5.48663944929658,0.81114069716687,4.43248034552189,6.94865122308555
"126","log_ihat",2010,5.30303801857381,0.834281011515163,4.18203919281676,6.74141844049997
"127","log_ihat",2011,5.0180144707812,0.855607396840799,3.82861234156286,6.5190034838224
"128","log_ihat",2012,4.70298346758807,0.880824926004326,3.44923112262216,6.27177154697878
"129","log_ihat",2013,4.45125045324115,0.831666184378214,3.20148471008318,5.8974522032966
"130","log_ihat",2014,4.6297665618771,0.802056886153704,3.49008305445834,6.05167452434829
"131","log_ihat",2015,5.72317959556527,0.729520284334724,4.79097702953598,7.04521434640901
"132","log_ihat",2016,5.51777355388616,0.881268554157358,4.26698205479776,7.04944728599663
"133","log_ihat",2017,5.345979687525,0.953614129661726,3.91398511807662,6.97717169180752
"134","log_ihat",2018,5.46317339067936,0.710899146421486,4.48133672159249,6.71976624303497
